Commodity,year,sum(value)
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2010,10.35
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2011,9.78
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2012,10.27
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2013,13.85
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2014,10.57
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2015,10.89
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2016,9.83
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2017,6.65
EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,2018,10.1
FERTILISERS.,2010,6181.25
FERTILISERS.,2011,9220.83
FERTILISERS.,2012,7413.22
FERTILISERS.,2013,5351.93
FERTILISERS.,2014,6386.57
FERTILISERS.,2015,7212.69
FERTILISERS.,2016,4285.92
FERTILISERS.,2017,4670.56
FERTILISERS.,2018,6661.91
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2010,79.93
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2011,101.87
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2012,67.39
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2013,44.59
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2014,61.66
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2015,89.12
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2016,58.85
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2017,90.5
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2018,106.29
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2010,282.64
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2011,324.28
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2012,386.56
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2013,397.93
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2014,460.46
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2015,486.19
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2016,535.1
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2017,687.25
"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",2018,746.96
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2010,842.93
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2011,1100.67
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2012,1108.52
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2013,1141.8
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2014,1286.15
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2015,1502.64
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2016,1466.64
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2017,1875.51
"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",2018,1792.48
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2010,4.08
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2011,6.53
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2012,5.19
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2013,4.79
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2014,5.24
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2015,3.0
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2016,2.92
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2017,5.47
"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",2018,7.0
GLASS AND GLASSWARE.,2010,607.99
GLASS AND GLASSWARE.,2011,706.76
GLASS AND GLASSWARE.,2012,764.05
GLASS AND GLASSWARE.,2013,734.13
GLASS AND GLASSWARE.,2014,845.56
GLASS AND GLASSWARE.,2015,943.01
GLASS AND GLASSWARE.,2016,1004.51
GLASS AND GLASSWARE.,2017,1244.93
GLASS AND GLASSWARE.,2018,1354.08
HEADGEAR AND PARTS THEREOF.,2010,10.35
